feature,p_val,A,fdr,signi
MALAT1,0.0,1.5050656714152795,0.0,True
SLC8A1,0.0,1.4747309771627133,0.0,True
MYH7,0.0,1.2101466714570237,0.0,True
ERBB4,0.0,1.178826474364754,0.0,True
PAM,0.0,1.1578172260334632,0.0,True
MYH6,0.0,1.1395686163424794,0.0,True
NPPA,0.0,1.112914443115066,0.0,True
RYR2,0.0,1.066699666133052,0.0,True
MYL2,0.0,1.0335627052556595,0.0,True
TTN,0.0,1.0237832379982006,0.0,True
KCNQ5,0.0,1.0228331330115992,0.0,True
SORBS2,0.0,0.9903989665345899,0.0,True
FGF12,0.0,0.9646486480640339,0.0,True
CACNA1C,0.0,0.8304264700986109,0.0,True
CTNNA3,0.0,0.7911171590540699,0.0,True
MTUS2,0.0,0.7802007178864231,0.0,True
PLCB1,0.0,0.739094777425955,0.0,True
ATP2A2,0.0,0.7330658100188551,0.0,True
KCNH7,0.0,0.7328865916310224,0.0,True
FOS,0.0,0.7188456694416412,0.0,True
PALLD,0.0,0.678008206458991,0.0,True
RBM20,0.0,0.6764810687374305,0.0,True
IL1RAPL1,0.0,0.6615376810861785,0.0,True
PPP1R12B,0.0,0.6469046214743528,0.0,True
LAMA2,0.0,0.6452472069477928,0.0,True
SAMD4A,0.0,0.6439028485491339,0.0,True
FBXL7,0.0,0.6376048157545645,0.0,True
CACNB2,0.0,0.6212725410492752,0.0,True
QKI,0.0,0.609719297672539,0.0,True
DMD,0.0,0.607797973355253,0.0,True
PTPRK,0.0,0.604247420891222,0.0,True
RABGAP1L,0.0,0.5962582081863607,0.0,True
MYOM1,0.0,0.5880351048729612,0.0,True
FBN2,0.0,0.5852313898648522,0.0,True
WSB1,0.0,0.5808372557541932,0.0,True
JUNB,6.894524230470889e-212,0.5660519711455448,3.4472621152354443e-208,True
PLCB4,0.0,0.5658050075086783,0.0,True
SORBS1,0.0,0.5557419213550407,0.0,True
EEF1A2,0.0,0.55445751895847,0.0,True
SLIT3,0.0,0.5498188637344513,0.0,True
ANKRD1,3.4415354311753287e-250,0.5482819015367488,1.7207677155876644e-246,True
AKAP6,0.0,0.5431990667025508,0.0,True
EMC10,0.0,0.5428421799161383,0.0,True
PARD3,0.0,0.541876894664304,0.0,True
RASAL2,0.0,0.5412033805327549,0.0,True
PTPRD,0.0,0.5378891713074462,0.0,True
PSD3,0.0,0.537654788615346,0.0,True
FHL2,0.0,0.530738977262366,0.0,True
