feature,module,A,fdr
PRDX1,1,0.42601560318013,0.0
DES,1,0.39007175819300094,6.7386338639381555e-270
PPP1R1A,1,0.32686357142801603,0.0
STMN1,1,0.3524709222383944,4.488450659034667e-192
PTTG1,1,0.3879145784558506,1.2278353232695906e-115
TUBA1B,1,0.49881467444610816,1.3870301724028154e-235
EEF1A2,1,0.55445751895847,0.0
ISYNA1,1,0.3206341275291964,3.0258032131522083e-53
AC104389.6,1,0.49527960592612297,3.2121715894191546e-202
HBA2,1,0.405616311436661,1.650295626981156e-172
MB,1,0.42556684696562785,1.1140679688106304e-262
RRAD,1,0.3783668849691385,4.360172509482086e-89
BANCR,2,0.3017207197576678,1.0556339243881255e-190
S100A4,2,0.35728339433615613,2.4415232755214865e-148
MYL2,2,1.0335627052556595,0.0
FHL2,2,0.530738977262366,0.0
CRNDE,2,0.327578185580651,7.554813357684203e-142
MEG3,2,0.3781924792796399,2.0597709119497738e-109
TMSB4X,2,0.398644830737602,1.2245236177447533e-115
MYH7,2,1.2101466714570237,0.0
TNNI3K,3,0.3232531361869909,0.0
FGF12,3,0.9646486480640339,0.0
SEMA5A,3,0.3054325552923989,0.0
VCAN,3,0.4292879752936615,0.0
FBN2,3,0.5852313898648522,0.0
CSMD1,3,0.47712258426175347,0.0
DLC1,3,0.36483575128939516,0.0
RUNX1T1,3,0.30906228653654816,0.0
CACNB2,3,0.6212725410492752,0.0
DLG2,3,0.4759705224247572,0.0
PRICKLE1,3,0.3277846427371806,0.0
MGAT4C,3,0.32238915923153794,0.0
PTPRM,3,0.3335935465751066,0.0
BRINP3,3,0.4019157346247978,0.0
SLC8A1,3,1.4747309771627133,0.0
EGFEM1P,3,0.35179943201399755,0.0
SORBS2,3,0.9903989665345899,0.0
FBXL7,3,0.6376048157545645,0.0
LAMA2,3,0.6452472069477928,0.0
CADM1,3,0.3781844439715919,0.0
CUX2,3,0.37211448528517566,2.413678474331447e-229
TLN2,3,0.3002200390179469,0.0
VPS13D,3,0.3588826326663686,1.6352876857966943e-235
ROR1,3,0.3916051707402475,0.0
RASAL2,3,0.5412033805327549,0.0
NAV1,3,0.4133286523211351,0.0
ESRRG,3,0.5031834179676002,0.0
KIDINS220,3,0.3222348540450345,0.0
LTBP1,3,0.38462633119034106,0.0
EXOC6B,3,0.35871061634605445,0.0
STK39,3,0.41449446408908447,0.0
PLCL2,3,0.3456518988319016,0.0
NLGN1,3,0.33520991867072897,0.0
ST6GAL1,3,0.42350381688255107,0.0
PCDH7,3,0.4756167309257946,0.0
ADGRL3,3,0.4675365490866498,0.0
INPP4B,3,0.5199480659077406,0.0
GAB1,3,0.30567701542681924,0.0
PLCXD3,3,0.30362545967154614,0.0
ADAMTS6,3,0.38970206167969623,0.0
VEGFA,3,0.3357955066216457,8.952185149146188e-231
KCNQ5,3,1.0228331330115992,0.0
QKI,3,0.609719297672539,0.0
HDAC9,3,0.42400653631253804,0.0
AUTS2,3,0.518658262345647,0.0
PSD3,3,0.537654788615346,0.0
FAM189A2,3,0.4455387352286792,0.0
CTNNA3,3,0.7911171590540699,0.0
PDGFD,3,0.3398042192678849,0.0
CACNA1C,3,0.8304264700986109,0.0
TSPAN9,3,0.3311555978684035,0.0
SOX5,3,0.378560375609554,0.0
MTUS2,3,0.7802007178864231,0.0
TBC1D4,3,0.33319254833245093,0.0
AKAP6,3,0.5431990667025508,0.0
MEIS2,3,0.40273370973574496,0.0
THSD4,3,0.467237102419389,0.0
IGF1R,3,0.33555846825105984,0.0
MEF2A,3,0.46304287610803146,0.0
PITPNC1,3,0.38648687594427206,2.3181783952343146e-199
MYOM1,3,0.5880351048729612,0.0
FHOD3,3,0.5157283914657124,0.0
MICAL3,3,0.3031428892148655,0.0
IL1RAPL1,3,0.6615376810861785,0.0
EFNA5,4,0.3054738961256691,0.0
CHRM2,4,0.3159710843802587,0.0
PPP1R12B,4,0.6469046214743528,0.0
KIF26B,4,0.4901355812776749,0.0
CORIN,4,0.33219997958287784,0.0
KIF13A,4,0.34636984675778615,0.0
MALAT1,4,1.5050656714152795,0.0
MAML2,4,0.3905934871230821,0.0
PLEKHA5,4,0.37375386066032196,0.0
DMD,4,0.607797973355253,0.0
AC020909.2,4,0.461904367465552,0.0
EMC10,4,0.5428421799161383,0.0
ATP2B4,4,0.32333356491575893,0.0
CDC42BPA,4,0.4319692223004594,1.8811217360354597e-220
TSC22D2,4,0.44356017057547437,0.0
IGF2BP2,4,0.4740775633328436,0.0
CTNND2,4,0.3613468053996643,0.0
CMYA5,4,0.4105470470318859,0.0
MAGI2,4,0.35506033312709046,0.0
IMMP2L,4,0.4887728948981224,0.0
CALD1,4,0.39577249216466104,0.0
HSPA5,4,0.4173042261180024,9.316136151728416e-218
SORBS1,4,0.5557419213550407,0.0
NEAT1,4,0.3508612569731023,0.0
NCAM1,4,0.5234162002094607,0.0
SIK3,4,0.4229022493897175,0.0
FRY,4,0.30071571358483107,0.0
LHFPL6,4,0.5277745563919615,0.0
FNDC3A,4,0.3421778109723903,2.5459774474204977e-246
SAMD4A,4,0.6439028485491339,0.0
TANC2,4,0.4575229279192821,0.0
PLCB4,4,0.5658050075086783,0.0
XIST,4,0.3217265492899545,0.0
COL4A5,4,0.32960962928230175,0.0
TTN,4,1.0237832379982006,0.0
ERBB4,4,1.178826474364754,0.0
PPARGC1A,4,0.30586475892600085,0.0
PHIP,4,0.36119244509159554,6.4836284668990425e-223
B4GALNT3,4,0.42324758893736075,0.0
SNHG14,4,0.3037495714924383,0.0
RERE,4,0.4811437210655352,0.0
KAZN,4,0.45387766929079565,1.1677833773791672e-232
MACF1,4,0.3180513487580386,0.0
RYR2,4,1.066699666133052,0.0
MGAT5,4,0.34592568316196753,0.0
CERS6,4,0.333987002715206,0.0
MAGI1,4,0.4708583284628539,0.0
FOXP1,4,0.43717299345368243,0.0
PLOD2,4,0.30217655975315527,0.0
ANK2,4,0.4450420216588294,0.0
CAMK2D,4,0.39227337371533844,0.0
RNF150,4,0.4326993934962892,0.0
PALLD,4,0.678008206458991,0.0
TRIO,4,0.4629924476856954,0.0
PDE4D,4,0.46359705724807054,0.0
ATXN1,4,0.3430790124036868,0.0
REV3L,4,0.38132178697078656,0.0
PTPRK,4,0.604247420891222,0.0
ARID1B,4,0.30485967241459355,0.0
TBX20,4,0.36026089306864506,0.0
CDK14,4,0.4410770823522463,0.0
ZFPM2,4,0.35589434265883346,0.0
PTPRD,4,0.5378891713074462,0.0
NFIB,4,0.36104469626024716,0.0
PALM2AKAP2,4,0.5220562993560282,0.0
PARD3,4,0.541876894664304,0.0
JMJD1C,4,0.3195446267758995,0.0
P4HA1,4,0.330576968658862,0.0
RBM20,4,0.6764810687374305,0.0
ABLIM1,4,0.4895118969937907,0.0
COL4A2,4,0.42317738304145674,0.0
AKAP13,4,0.485692801508159,0.0
AC138305.1,4,0.3115840972623056,0.0
WSB1,4,0.5808372557541932,0.0
CDH2,4,0.43037194765371967,0.0
MYO18B,4,0.381760558869645,0.0
TTC28,4,0.3416575555859532,0.0
LARGE1,4,0.4421616501214271,0.0
AFF3,4,0.4019779608867769,0.0
LPP,4,0.4206468782077222,0.0
GATA4,4,0.39421894307943334,0.0
ASAP1,4,0.36416495121028275,0.0
MACROD2,4,0.3532531416674103,0.0
PRKG1,5,0.4130301664536979,0.0
JUN,5,0.3069911108890872,6.068967068498201e-131
ATF3,5,0.3458558934188313,6.898924238704445e-144
