feature,p_val,A,fdr,signi
NRG3,0.0,1.9404988274522001,0.0,True
NTS,0.0,1.8766416954394731,0.0,True
ARL15,0.0,1.872246155205589,0.0,True
IGFBP3,0.0,1.8511247028145923,0.0,True
DKK2,0.0,1.790425461554485,0.0,True
POSTN,0.0,1.7658806765694695,0.0,True
COL3A1,0.0,1.6862302918766263,0.0,True
COL4A1,0.0,1.6771677652670403,0.0,True
CCL21,0.0,1.6687938889872298,0.0,True
EDN1,0.0,1.6145352112271147,0.0,True
VCAN,0.0,1.564170784361777,0.0,True
IL32,0.0,1.5445245353473345,0.0,True
TMEM100,0.0,1.5404203618969214,0.0,True
IGF2,0.0,1.5071212198723136,0.0,True
FABP5,0.0,1.4983731365530613,0.0,True
PDE3A,0.0,1.4968381347777606,0.0,True
FAM155A,0.0,1.4775722705070613,0.0,True
SPARCL1,0.0,1.4571595668533655,0.0,True
MAST4,0.0,1.432673805970698,0.0,True
VWF,0.0,1.42190628198638,0.0,True
CLDN5,0.0,1.4076601147690133,0.0,True
ELN,0.0,1.4073484121759274,0.0,True
SERPINE2,0.0,1.4015111686340582,0.0,True
KLF2,2.9034349117694868e-205,1.3775089870678447,1.4517174558847433e-201,True
ACKR3,0.0,1.3698797566664727,0.0,True
CCL14,0.0,1.328715786958525,0.0,True
CGNL1,0.0,1.3250094177240415,0.0,True
A2M,0.0,1.3248243367828172,0.0,True
PRND,0.0,1.3215443752175418,0.0,True
CXCL12,0.0,1.318329996133106,0.0,True
CCN2,7.812324693294917e-64,1.3153878288182475,3.9061623466474587e-60,True
MEIS2,0.0,1.311402514753654,0.0,True
TCIM,0.0,1.3083538950561313,0.0,True
TFPI,0.0,1.2941142102422143,0.0,True
MCTP1,0.0,1.2932870543564008,0.0,True
MGP,0.0,1.2861375760327023,0.0,True
NPPC,0.0,1.2809282803888207,0.0,True
MMRN1,0.0,1.280515764950527,0.0,True
CLEC3B,0.0,1.2782747784548043,0.0,True
GALNT18,0.0,1.2746644042706325,0.0,True
DACH1,0.0,1.268165053239155,0.0,True
NAV3,0.0,1.2638345056053901,0.0,True
IER3,0.0,1.2535374302570539,0.0,True
EMP1,0.0,1.253484555775351,0.0,True
CD36,0.0,1.2447685920726854,0.0,True
IGFBP7,0.0,1.2444644374934604,0.0,True
AL357507.1,0.0,1.243997226260881,0.0,True
CDH13,0.0,1.2315632181946652,0.0,True
FLRT2,0.0,1.2257837181985933,0.0,True
TSHZ2,0.0,1.2215196802424764,0.0,True
SLC9C1,0.0,1.2210352233557538,0.0,True
EYS,0.0,1.2209396380044413,0.0,True
MAGI1,0.0,1.218881760688919,0.0,True
COLEC11,0.0,1.208055098047212,0.0,True
PCDH7,0.0,1.2036992265419408,0.0,True
DIAPH2,0.0,1.2033914900169633,0.0,True
LYVE1,0.0,1.202231527546756,0.0,True
COL15A1,0.0,1.1987967879431682,0.0,True
FN1,0.0,1.1987281420169649,0.0,True
ARHGAP18,0.0,1.1970693900039433,0.0,True
LINC01197,0.0,1.1958006407268718,0.0,True
ADAMTS9,0.0,1.193159619034018,0.0,True
PLCB1,0.0,1.1880678239076023,0.0,True
CTHRC1,0.0,1.1842810536400539,0.0,True
BTNL9,0.0,1.1839427687863462,0.0,True
ROBO1,0.0,1.1822205214631134,0.0,True
CSGALNACT1,0.0,1.1820921648368798,0.0,True
CDH11,0.0,1.1816284802565622,0.0,True
LHFPL6,0.0,1.1791467887880707,0.0,True
PTHLH,0.0,1.1783733546429627,0.0,True
INHBA,0.0,1.1768485037310126,0.0,True
ADGRL4,0.0,1.1701182064723863,0.0,True
DOCK4,0.0,1.1651617236876823,0.0,True
PTPRB,0.0,1.1648993119362478,0.0,True
SULF1,0.0,1.1641640143779601,0.0,True
MIR99AHG,0.0,1.1583330953559492,0.0,True
CAV1,0.0,1.1563753054403976,0.0,True
SLC2A3,0.0,1.1557875005328762,0.0,True
VEGFC,0.0,1.1522367418143697,0.0,True
NPR3,0.0,1.1516422123568821,0.0,True
HAS2,0.0,1.150784325601204,0.0,True
PLEKHG1,0.0,1.1493015034214897,0.0,True
NPAS2,6.3627266366049255e-257,1.1457893863924586,3.181363318302463e-253,True
CD55,0.0,1.1451924113403371,0.0,True
ADGRG6,0.0,1.1378707902324818,0.0,True
UNC5B,0.0,1.1297732565553535,0.0,True
GJA5,0.0,1.1288937210921364,0.0,True
PRAG1,1.810457306821522e-182,1.1147618828994588,9.052286534107609e-179,True
ID2,4.273238356681545e-282,1.1124573094733479,2.1366191783407726e-278,True
RGCC,0.0,1.110817967373875,0.0,True
FBLN2,0.0,1.1084418538315886,0.0,True
THSD7A,0.0,1.1015599319082046,0.0,True
KIAA1217,0.0,1.0947281125751007,0.0,True
PLAC9,0.0,1.0929383771483965,0.0,True
CRABP2,0.0,1.0831993787592804,0.0,True
PCDH11X,1.576879406802844e-266,1.0810634474210437,7.88439703401422e-263,True
HMOX1,1.775179190870158e-41,1.0802417496523882,8.87589595435079e-38,True
ITGA6,0.0,1.0730866495178857,0.0,True
MYO1B,0.0,1.072235202489312,0.0,True
NEAT1,0.0,1.0697276444898314,0.0,True
MAML3,0.0,1.0676421792700699,0.0,True
FABP4,0.0,1.0662342108905456,0.0,True
PDE4D,0.0,1.0633751379215983,0.0,True
PLPP1,0.0,1.0633043199936,0.0,True
TFF3,0.0,1.06242435738677,0.0,True
SAT1,0.0,1.060827315226506,0.0,True
JAG1,0.0,1.0570805403210912,0.0,True
UACA,0.0,1.054684452803022,0.0,True
SEMA6D,0.0,1.053916105982675,0.0,True
MIR100HG,0.0,1.053813631526908,0.0,True
SFMBT2,0.0,1.0526701733384358,0.0,True
RELN,0.0,1.050986399459325,0.0,True
AKAP12,0.0,1.0501002672228004,0.0,True
MYO10,0.0,1.0415501630235218,0.0,True
PDLIM3,0.0,1.0402716609069573,0.0,True
PBX1,1.8314629912957704e-219,1.0402383223232912,9.157314956478852e-216,True
ARL4A,0.0,1.0400997472762183,0.0,True
ACSM3,1.1998627665205168e-170,1.039869496453364,5.999313832602584e-167,True
CD93,0.0,1.0350306764387385,0.0,True
ITGA8,0.0,1.027512518550598,0.0,True
BNIP3,1.1921098440090472e-205,1.0271791569746513,5.960549220045236e-202,True
SRGN,0.0,1.0255355538884778,0.0,True
HAPLN1,0.0,1.0247900000571721,0.0,True
NR2F2-AS1,0.0,1.023174901265847,0.0,True
NIBAN1,0.0,1.0216587984666636,0.0,True
NCOA7,0.0,1.0211114757230308,0.0,True
HSPA1A,9.164404161927133e-42,1.0202903999850554,4.5822020809635666e-38,True
KITLG,0.0,1.0195344441149885,0.0,True
LSAMP,0.0,1.0194808395064971,0.0,True
ZC3HAV1,2.5867662703308043e-101,1.0194082016738137,1.293383135165402e-97,True
ST8SIA6,0.0,1.0180763420625887,0.0,True
GJA4,0.0,1.0176114290032368,0.0,True
CCL2,3.2283083827914423e-192,1.0162126006938461,1.614154191395721e-188,True
SIPA1L2,0.0,1.0049132067096278,0.0,True
C4orf48,0.0,1.003737876193774,0.0,True
NR4A1,2.727671551305028e-216,1.0016765178226275,1.363835775652514e-212,True
INSR,0.0,0.999972973494601,0.0,True
PRKG1,0.0,0.997544058864261,0.0,True
S100A6,0.0,0.9972663534310251,0.0,True
MYO1E,0.0,0.9950619374922494,0.0,True
KCNQ5,0.0,0.9913549856904009,0.0,True
AL021918.5,2.7384405111710513e-13,0.9875585106907301,1.3692202555855257e-09,True
BMP4,0.0,0.9842214022697404,0.0,True
HECW2,0.0,0.9796904807110758,0.0,True
KLHL13,0.0,0.9790742424984207,0.0,True
ZSWIM6,0.0,0.9778415625729546,0.0,True
HLA-B,0.0,0.9747615023570646,0.0,True
SEMA3A,0.0,0.9733354233433782,0.0,True
VAV3,0.0,0.9694224165559037,0.0,True
CACNA2D1,0.0,0.968396814433077,0.0,True
MEST,0.0,0.9654615686679023,0.0,True
RAPGEF1,0.0,0.965402616973621,0.0,True
CPXM2,0.0,0.9616410114839414,0.0,True
TNNT3,0.0,0.9603613241564944,0.0,True
JAM2,0.0,0.9597482333134699,0.0,True
PREX2,0.0,0.9581492760082102,0.0,True
LINC01619,0.0,0.955998552708782,0.0,True
PROX1,0.0,0.9526072447641811,0.0,True
ARHGEF28,0.0,0.9516547507786425,0.0,True
OPCML,0.0,0.947422844295492,0.0,True
COL1A2,0.0,0.9439188142004644,0.0,True
EFNA5,0.0,0.9426166189658434,0.0,True
CCDC80,0.0,0.9409903202556685,0.0,True
RGS6,0.0,0.939643609604864,0.0,True
THBS1,0.0,0.9327046885844678,0.0,True
APLNR,0.0,0.932636098721881,0.0,True
ANO2,0.0,0.9303358802540038,0.0,True
PPP1R14A,0.0,0.9295164545024704,0.0,True
COL1A1,0.0,0.9293799529620093,0.0,True
DNAJB1,2.257325061622895e-81,0.9281962774629686,1.1286625308114474e-77,True
FBLN5,0.0,0.9262949920240444,0.0,True
MEG8,6.525048993666453e-193,0.9204976544547749,3.2625244968332265e-189,True
NCKAP5,0.0,0.9199363094685926,0.0,True
FLNB,0.0,0.9197075427706548,0.0,True
KCNIP4,1.2594785725024967e-125,0.9183154890558913,6.297392862512483e-122,True
TIMP3,0.0,0.9178488628473096,0.0,True
ATP1B1,0.0,0.9129669153542133,0.0,True
DPYSL3,0.0,0.9098251312586426,0.0,True
RBP7,0.0,0.9077993351501729,0.0,True
SLIT3,0.0,0.9069407398392679,0.0,True
XKR4,0.0,0.9045701964685117,0.0,True
EGLN1,0.0,0.9008028073796521,0.0,True
SMAD1,0.0,0.9007682730172353,0.0,True
AKR1B1,0.0,0.8991303722469882,0.0,True
NFE2L3,0.0,0.8981297404400012,0.0,True
PREX1,0.0,0.898120341528287,0.0,True
FBN2,0.0,0.8944136847914594,0.0,True
ESM1,0.0,0.8933061580565359,0.0,True
GRIA2,0.0,0.8932361478016707,0.0,True
PTPRE,0.0,0.8930080062510843,0.0,True
GABBR2,0.0,0.8927826811982105,0.0,True
SYNE2,0.0,0.8915662491214829,0.0,True
FRMD4A,0.0,0.8908611995571951,0.0,True
SOX5,0.0,0.8908101329349469,0.0,True
EGR1,9.806096500989224e-259,0.8896088415375247,4.903048250494612e-255,True
EMP3,0.0,0.8880893933513444,0.0,True
NDRG1,0.0,0.8854583609818347,0.0,True
GJA1,0.0,0.8845001317061296,0.0,True
FGD4,0.0,0.8843933543909908,0.0,True
APBB2,0.0,0.8818323272453353,0.0,True
GNG2,0.0,0.8801401061362727,0.0,True
EPHA4,0.0,0.8794805868195353,0.0,True
MEOX2,0.0,0.8789294134435035,0.0,True
AQP1,0.0,0.8788906169165625,0.0,True
GRB10,0.0,0.8764890047109879,0.0,True
EPS8,0.0,0.8749707013570217,0.0,True
HSPD1,5.197381960702995e-83,0.8739587217112965,2.5986909803514975e-79,True
BMP6,1.8522423424665744e-240,0.8718465455471134,9.261211712332872e-237,True
GATA4,0.0,0.8715202277141416,0.0,True
ALDH1A2,1.998795964454275e-275,0.8697471981085356,9.993979822271375e-272,True
PLVAP,0.0,0.8696249022901698,0.0,True
MTSS1,0.0,0.8694528292670447,0.0,True
TSPAN13,0.0,0.8677316839922737,0.0,True
MLLT3,1.7406552458713501e-236,0.8657298442423215,8.703276229356751e-233,True
JUND,2.1888165127192074e-211,0.8654072120692824,1.0944082563596036e-207,True
RFTN1,0.0,0.864658029759092,0.0,True
CHSY1,0.0,0.8639005930061514,0.0,True
EMILIN1,0.0,0.8586875215682926,0.0,True
SCHIP1,0.0,0.8581140401134245,0.0,True
LEPR,0.0,0.8580031660708435,0.0,True
CXCR4,0.0,0.8572063330347075,0.0,True
NETO2,0.0,0.8558457978566558,0.0,True
THRB,0.0,0.8544365200863079,0.0,True
SOCS3,1.8167601934862652e-262,0.8531492506291949,9.083800967431326e-259,True
LTC4S,0.0,0.8517931655731447,0.0,True
ZFP36,9.024771445333283e-191,0.8507073259488385,4.512385722666641e-187,True
