feature,module,A,fdr
NBL1,1,2.892296846112661,0.0
PLA2G5,1,1.8216306748934366,0.0
PATJ,1,1.1210394986404153,0.0
PTGER3,1,1.2912069360979177,0.0
NTNG1,1,1.8392478469250158,0.0
GSTM3,1,1.2482215043233404,2.287109714853831e-238
OLFML3,1,1.4908037835108168,0.0
NOTCH2,1,1.2806403203552668,0.0
SELENBP1,1,0.9166230209473454,5.0911343237817633e-284
FLG-AS1,1,0.8864290692931832,0.0
KRTCAP2,1,0.8051202402336837,7.956572317603801e-11
TSTD1,1,1.8950517242388067,6.376340967188409e-180
FCER1G,1,1.2117101094958191,0.0
ATP1B1,1,2.0666532612895634,0.0
SLC9C2,1,4.421297580470088,1.844268988286821e-235
QSOX1,1,1.7028851867351955,0.0
HHAT,1,1.2093204072893704,0.0
AGT,1,5.313022533602259,2.593919036365727e-05
LRATD1,1,1.025475454758047,0.0
AC008170.1,1,1.7497285672732474,5.530926626890067e-90
CYP1B1,1,2.2193112575340583,0.0
EPCAM,1,0.5843821940022788,3.0938628714795003e-16
C2orf74,1,0.6686975733188151,2.5194238919235063e-15
IL18R1,1,1.1017758626821403,0.0
CFC1,1,0.4984306149843922,6.243405473686814e-60
AC097448.1,1,0.8904280045229902,2.572728120964239e-65
SLC40A1,1,2.7161436040442437,0.0
AC006460.2,1,2.9532318757779255,0.0
GPBAR1,1,1.9051109609584849,0.0
EPHA4,1,2.638768845933238,0.0
ITM2C,1,1.9201175045037047,0.0
ASB1,1,2.3385322673978344,2.9268324052678872e-33
CNTN6,1,1.7964066280878557,0.0
AC069277.1,1,5.51547614119461,1.0219346299346344e-06
RBMS3-AS2,1,0.8025468254710258,4.882958277863352e-143
EIF1B-AS1,1,0.6156122409750295,3.2422947087126317e-114
CLEC3B,1,2.3727235430670897,0.0
INKA1,1,1.2086632595720959,2.2701134296961184e-39
LINC00960,1,3.1831011804758904,2.2925057571533197e-47
TMEM45A,1,2.3122372966805367,4.986076262517121e-246
ADCY5,1,0.5248969311795051,8.368570952982651e-11
MASP1,1,2.200987710996963,0.0
C4orf48,1,2.100017433870576,0.0
NSG1,1,2.643784611754854,0.0
GUCY1B1,1,1.0766707985845854,0.0
