feature,p_val,A,fdr,signi
DCN,0.0,1.4588244225706448,0.0,True
ZSWIM6,0.0,1.3998739253493264,0.0,True
FOS,0.0,1.3622767903057447,0.0,True
SCN7A,0.0,1.295239405943556,0.0,True
LUM,0.0,1.222952028182519,0.0,True
GPC6,0.0,1.2006752306893143,0.0,True
ASPN,0.0,1.1988501503366904,0.0,True
ABCA8,0.0,1.1904674703482037,0.0,True
HSPA1B,1.4066389145052104e-144,1.1518408011722157,7.033194572526052e-141,True
FOSB,0.0,1.1360366880031976,0.0,True
GLIS3,0.0,1.1357683232381683,0.0,True
ADAMTSL4-AS1,0.0,1.1218131667854845,0.0,True
ROBO2,0.0,1.103220179067816,0.0,True
SLIT3,0.0,1.1014266575499256,0.0,True
COL21A1,0.0,1.0993528938412165,0.0,True
TMTC2,0.0,1.08746733351071,0.0,True
ABCA9,0.0,1.084804778860054,0.0,True
TSHZ2,0.0,1.078642661616444,0.0,True
APOE,0.0,1.0758423041125487,0.0,True
DLK1,0.0,1.0600954025817764,0.0,True
NFE2L3,0.0,1.0570946834912514,0.0,True
NRG1,0.0,1.0453256052237032,0.0,True
JUNB,0.0,1.042093862077977,0.0,True
PENK,0.0,1.0417265126188793,0.0,True
NFATC2,0.0,1.0223325139348975,0.0,True
SEMA3C,9.604701571564992e-267,1.0204836278125997,4.8023507857824964e-263,True
ADAMTSL1,0.0,0.9953666362976049,0.0,True
ADAMTSL3,0.0,0.9900778344832909,0.0,True
GIPC2,0.0,0.9720878870099008,0.0,True
HMGB2,0.0,0.9601018390359413,0.0,True
SEMA5A,0.0,0.9465272132299039,0.0,True
COL15A1,0.0,0.9368109965937654,0.0,True
TBX20,0.0,0.9297924446226573,0.0,True
PDE3A,0.0,0.921951665435838,0.0,True
ERBB4,0.0,0.9161687344540979,0.0,True
UBR1,4.94337132693233e-211,0.912855263797256,2.471685663466165e-207,True
PCDH9,0.0,0.9126284746809511,0.0,True
AKAP12,0.0,0.9032192827080235,0.0,True
TUBB4B,0.0,0.9005765929196152,0.0,True
UBE2C,0.0,0.8988239949737875,0.0,True
BGN,0.0,0.8984044727701683,0.0,True
OGN,0.0,0.8966687362748209,0.0,True
INTS6,0.0,0.8957960591745587,0.0,True
TAGLN,0.0,0.8899724752700642,0.0,True
PTPRD,0.0,0.8897274684986349,0.0,True
EGR1,0.0,0.8885100623542854,0.0,True
ELL2,0.0,0.8847341061620856,0.0,True
XYLT1,4.109459440764473e-187,0.8818339294282546,2.0547297203822366e-183,True
EDIL3,0.0,0.8815365316553271,0.0,True
SFRP1,0.0,0.8714308323585925,0.0,True
DPY19L2P1,1.0992964083037824e-242,0.8700791388590909,5.496482041518912e-239,True
ZFP36,0.0,0.868721490807987,0.0,True
CRY1,0.0,0.8582057154156862,0.0,True
PTTG1,0.0,0.8578266856357611,0.0,True
EGFEM1P,0.0,0.8526572539791732,0.0,True
EBF2,0.0,0.851983843815953,0.0,True
SMC4,0.0,0.8501787533989398,0.0,True
SEMA4A,0.0,0.8501075744526521,0.0,True
FMOD,0.0,0.8474552174057405,0.0,True
MGAT4C,0.0,0.8461233792968528,0.0,True
CENPF,0.0,0.8424391414377027,0.0,True
SAMD4A,0.0,0.8407794817510895,0.0,True
SOCS3,0.0,0.8338864677356104,0.0,True
PDE10A,0.0,0.8335555963662827,0.0,True
TOP2A,0.0,0.8312120182608688,0.0,True
PCDH7,0.0,0.8306118756499441,0.0,True
ADAMTS19,0.0,0.8257810475027404,0.0,True
JUND,5.2870280009040325e-225,0.8256657683161377,2.6435140004520163e-221,True
CPE,0.0,0.8234959890075272,0.0,True
EPS8,0.0,0.8143256901245527,0.0,True
POSTN,0.0,0.8141074984956896,0.0,True
CXCL12,0.0,0.8119931680974063,0.0,True
RBFOX1,2.4789719312105675e-142,0.8103159298455088,1.2394859656052837e-138,True
HAPLN1,0.0,0.8062643642769832,0.0,True
DIAPH3,0.0,0.8030690485398313,0.0,True
FLRT2,0.0,0.8023164029107898,0.0,True
NLGN1,0.0,0.798597674250415,0.0,True
NEGR1,0.0,0.7979697800412373,0.0,True
TCF21,0.0,0.79671186892485,0.0,True
H4C3,0.0,0.7960763567315549,0.0,True
NR4A1,0.0,0.7938734903257145,0.0,True
SPARCL1,0.0,0.7922554078043524,0.0,True
RALYL,0.0,0.7871455703520069,0.0,True
CNTNAP2,0.0,0.7854647731462112,0.0,True
NCKAP5,0.0,0.7831828328350134,0.0,True
ACTA2,0.0,0.7814249573073816,0.0,True
NTM,0.0,0.775877357812941,0.0,True
RGS5,0.0,0.7753643908053741,0.0,True
ITM2A,0.0,0.7728275546299477,0.0,True
HSPA1A,1.6260102220144104e-102,0.7715335180195175,8.130051110072051e-99,True
LAMA2,1.4766883686962899e-252,0.7685530769358261,7.38344184348145e-249,True
S100A10,0.0,0.7675618928653778,0.0,True
SERTAD1,0.0,0.7661087496785692,0.0,True
COL24A1,0.0,0.7591113948736063,0.0,True
LIMCH1,0.0,0.7528960567690238,0.0,True
SLIT2,0.0,0.7520380617967168,0.0,True
MECOM,0.0,0.7487501096569514,0.0,True
TFPI2,7.991603284035567e-153,0.7465589868423124,3.995801642017783e-149,True
NCAM1,0.0,0.7460802785696544,0.0,True
CASC15,0.0,0.7455867069381128,0.0,True
CCDC102B,0.0,0.7452163373337519,0.0,True
TIMP3,0.0,0.7438289604240065,0.0,True
FREM1,0.0,0.7428345475964029,0.0,True
ADAMTS9-AS2,1.8252573200746632e-143,0.7409048867352745,9.126286600373317e-140,True
HPSE2,0.0,0.73939975554857,0.0,True
POLG2,0.0,0.7378338973912194,0.0,True
HSPH1,1.2193300327736759e-166,0.7365964059058647,6.096650163868379e-163,True
SIK3,0.0,0.7321925530357585,0.0,True
DENND4A,9.928631906606724e-203,0.7305509293403668,4.964315953303362e-199,True
FOXP2,0.0,0.7237248684911861,0.0,True
CCL2,0.0,0.723609685030964,0.0,True
MEIS1,0.0,0.7221582124239496,0.0,True
NRXN1,0.0,0.7218737223916383,0.0,True
FGF14,0.0,0.721737543271544,0.0,True
NPAS3,0.0,0.7177552674859645,0.0,True
ATF3,0.0,0.7176506979560742,0.0,True
CLU,0.0,0.7155016664733185,0.0,True
IER2,0.0,0.7059400910925825,0.0,True
NFATC1,0.0,0.7027121217121488,0.0,True
PRSS35,0.0,0.6997502505615243,0.0,True
PLA2G5,0.0,0.6993734627965298,0.0,True
ADGRL3,0.0,0.6989313130298556,0.0,True
ADGRB3,0.0,0.6974717457609831,0.0,True
GRID2,0.0,0.6973061376958598,0.0,True
MAGI2,0.0,0.6971621230592935,0.0,True
C7,0.0,0.6940986283815074,0.0,True
CKS2,0.0,0.6820321031924846,0.0,True
LAMA4,0.0,0.6798341785869495,0.0,True
CRABP2,0.0,0.6771237069684924,0.0,True
SOX6,0.0,0.6709965144856794,0.0,True
CD34,0.0,0.6690447797729544,0.0,True
ZNF10,3.0831761158096353e-186,0.6687616243240291,1.5415880579048178e-182,True
ABI3BP,3.832834566917034e-214,0.6642588689250907,1.916417283458517e-210,True
JUN,0.0,0.6642025999807213,0.0,True
DISC1,6.042066258373999e-251,0.6633678768675214,3.0210331291869994e-247,True
CNTN4,0.0,0.6629968508876406,0.0,True
MOXD1,0.0,0.6623681284796511,0.0,True
PDZRN4,0.0,0.662254663650379,0.0,True
ZHX2,9.521508651203607e-110,0.6621654204567541,4.760754325601804e-106,True
NRK,0.0,0.6610357987304424,0.0,True
