feature,module,A,fdr
RYR2,1,0.630295419738036,0.0
CHRM3,1,0.5743313280941632,1.002718564889896e-191
FRZB,1,0.5620123297391085,1.0781403523047107e-264
CACNA2D3,1,0.4767417038367802,0.0
ARHGAP24,1,0.4494292689844223,4.23197302590334e-285
TSPAN5,1,0.524054330332481,0.0
BCKDHB,1,0.30905931734810727,3.0128768103314975e-84
TBX18,1,0.33790457230567505,0.0
FNDC1,1,0.643928304454245,0.0
SMOC2,1,0.4466138008489791,0.0
SEMA3C,1,1.0204836278125997,4.8023507857824964e-263
PEG10,1,0.39544444810129,0.0
CTHRC1,1,0.4925311907562242,7.827098233518587e-187
CELF2,1,0.4999299656218129,0.0
HPSE2,1,0.73939975554857,0.0
ADM,1,0.3154379792949151,0.0
NELL1,1,0.5598203173773225,5.496098095505688e-157
NTM,1,0.775877357812941,0.0
MGAT4C,1,0.8461233792968528,0.0
LOXL1,1,0.3897973190800087,0.0
CEMIP,1,0.489936542675381,0.0
DCC,1,0.4311807488293341,0.0
CCBE1,1,0.4118416925395536,0.0
C3,1,0.453845852873519,2.106134152201605e-179
NRK,1,0.6610357987304424,0.0
RARRES2,1,0.37899802686512,0.0
PPP1R14A,1,0.34081290428941846,1.0814645377697347e-261
CFH,1,0.30152313111717927,1.7243141354530616e-112
SLC9A9,1,0.33594570386879125,5.452250914627524e-184
MAPK10,1,0.30037767534740534,1.636505055117256e-272
SPARCL1,1,0.7922554078043524,0.0
TENT5A,1,0.38890054756889414,2.6652140088525407e-260
LAMA2,1,0.7685530769358261,7.38344184348145e-249
OGN,1,0.8966687362748209,0.0
ZEB1-AS1,1,0.38748451823031843,2.220056250895648e-12
DLK1,1,1.0600954025817764,0.0
NR2F2-AS1,1,0.4038099970940166,0.0
PTPRT,1,0.588405016728847,0.0
AGTR2,1,0.46118020273722343,3.410611803539748e-92
MIR503HG,1,0.44658807367145203,0.0
TTTY14,1,0.3836135534429966,2.4703484994600213e-21
NRG3,1,0.487936706858721,0.0
DIAPH2,1,0.5022704600912453,9.743821966102168e-126
PLPP3,1,0.302794920006139,3.1986467506543175e-58
DES,1,0.5031869552564399,0.0
RAMP1,1,0.3122613793063515,0.0
UST,1,0.34398666198267913,1.0494866331819944e-210
LRRN3,1,0.4047561721173176,0.0
NCALD,1,0.406784247380421,0.0
ITGA8,1,0.49409320308890586,0.0
WT1,1,0.340995925338315,0.0
NTNG1,1,0.30105780932335874,0.0
PHLDA1,1,0.4097353820988666,0.0
CYTOR,1,0.3541455825863862,0.0
C4orf19,1,0.3249205395271042,2.1010920678435525e-30
TNFAIP2,1,0.37370167816238553,7.036149762509021e-205
CRIM1,1,0.5398467046444742,2.800729398333867e-72
NPPA,1,0.38004206575070537,2.1997895780924824e-25
MYL7,1,0.5632755984879712,3.6291502959531446e-50
PARD3B,1,0.3610842887763185,0.0
ZNF385D,1,0.5927931217506254,0.0
AC008014.1,1,0.4279364722714721,2.8549845930722166e-45
NAV3,1,0.49345988922877126,0.0
IL1RAPL1,1,0.6189853780695527,0.0
PID1,1,0.3780737893725349,0.0
COL21A1,1,1.0993528938412165,0.0
CNTNAP2,1,0.7854647731462112,0.0
SEMA5A,1,0.9465272132299039,0.0
PDGFRB,1,0.3552111842760208,0.0
CCDC3,1,0.5061580977364925,0.0
GUCY1A2,1,0.5745369059431518,0.0
APOE,1,1.0758423041125487,0.0
HEYL,1,0.43755312720307693,0.0
BX284613.2,1,0.3466094865635702,0.0
HMCN1,1,0.49378777998082546,6.60280606323742e-217
AGT,1,0.616533334637286,0.0
KCNS3,1,0.4940205589373353,4.637887758210867e-62
MIR4435-2HG,1,0.33119167970013397,3.618043398525592e-156
MGAT5,1,0.3510128143595733,1.6935509699614902e-142
TMEM108,1,0.48132733762981883,0.0
UNC5C,1,0.47702681756005694,0.0
ENPEP,1,0.3258743133484514,0.0
LINC01091,1,0.30476248842675235,0.0
DCLK2,1,0.35991530474588684,6.010486937466974e-157
GUCY1B1,1,0.37703288042075106,0.0
ARL15,1,0.5862708173598867,2.1539407606262298e-125
SGCD,1,0.33159926015519037,3.2866039814215194e-223
THBS2,1,0.4365445766020975,0.0
PXDNL,1,0.37433339522761955,0.0
MSC-AS1,1,0.3038772063425689,0.0
PAG1,1,0.353305204225926,0.0
TNC,1,0.48141516607802814,5.775318159334902e-277
SPON1,1,0.4620369734263823,0.0
ARHGAP42,1,0.44350597554594184,2.3343783255695137e-197
CASP4LP,1,0.30874050924227914,0.0
EPS8,1,0.8143256901245527,0.0
ABCC9,1,0.31719885044267443,0.0
PCED1B,1,0.3220004467478341,1.6865553780198626e-10
CGNL1,1,0.3400797507216132,4.8491757526436006e-232
NR2F2,1,0.5253516792410065,0.0
RNF152,1,0.3323634631315756,1.701879896266354e-257
NOTCH3,1,0.44330060573726576,0.0
SH3RF1,1,0.335179356218144,9.014173379100427e-111
LIFR,1,0.3266874094385554,1.5349349549345216e-252
PAPPA,1,0.34382804130944633,0.0
TGFBR3,1,0.504469809445127,0.0
TXNIP,1,0.47231541576084424,0.0
HTRA3,1,0.38972809382930884,0.0
LAMA4,1,0.6798341785869495,0.0
PPP1R9A,1,0.3048824960663994,7.344287166255617e-256
EBF2,1,0.851983843815953,0.0
LUM,1,1.222952028182519,0.0
DCN,1,1.4588244225706448,0.0
NCAM2,1,0.6418721643242322,0.0
ITM2A,1,0.7728275546299477,0.0
SULF1,1,0.42740418602456537,0.0
ALDH1A2,1,0.5730596969936473,0.0
PLCB1,1,0.5663670998977708,0.0
ELMO1,1,0.3948792748389514,0.0
ITGB3BP,2,0.31606454686710406,1.4681732428980133e-115
CCDC18,2,0.3387523997339052,8.233148399423756e-174
NUF2,2,0.3433930390984275,0.0
ASPM,2,0.6364578552529989,0.0
KIF14,2,0.3264822411900563,0.0
UBE2T,2,0.43356583727296466,0.0
DTL,2,0.4503652662464659,4.2097521834267e-201
CENPF,2,0.8424391414377027,0.0
RRM2,2,0.47494065902384225,0.0
CENPA,2,0.3362413881923792,0.0
BUB1,2,0.3076446932746533,0.0
CKAP2L,2,0.31898645108598483,0.0
SPC25,2,0.3937049449218363,0.0
SGO2,2,0.39569110017644477,0.0
KIF15,2,0.3901236319603082,0.0
POLQ,2,0.3292146731302353,0.0
SMC4,2,0.8501787533989398,0.0
ECT2,2,0.5461069363393537,0.0
TACC3,2,0.44728108252931725,0.0
NSD2,2,0.38076502653746747,0.0
NCAPG,2,0.3914326076727136,0.0
LCORL,2,0.38912303803668996,6.1266331386671955e-71
CENPE,2,0.437796956945866,0.0
ZGRF1,2,0.38974418724561327,4.113699235433235e-252
MAD2L1,2,0.4946496147156071,0.0
CCNA2,2,0.45159922526218166,0.0
SPATA5,2,0.3593533195607039,1.97761979967252e-86
HMGB2,2,0.9601018390359413,0.0
NEIL3,2,0.31332382617016163,0.0
CENPU,2,0.31194216640643224,0.0
CENPK,2,0.4059650753230566,0.0
LMNB1,2,0.462680898261051,0.0
KIF20A,2,0.33428494312731505,0.0
CDC25C,2,0.40961221503044964,0.0
PTTG1,2,0.8578266856357611,0.0
HMMR,2,0.3526761297027377,0.0
H1-1,2,0.32821583641319046,0.0
H1-2,2,0.36335943369300555,5.92032337920781e-204
H4C3,2,0.7960763567315549,0.0
H1-4,2,0.34240749352693634,0.0
H1-3,2,0.40203718813793365,0.0
PRIM2,2,0.5047760811559243,2.0277270817755723e-126
MMS22L,2,0.34804474858332124,4.3296462326844157e-160
ANLN,2,0.5030847146950169,0.0
EZH2,2,0.5846016049474221,0.0
AC068587.4,2,0.31522564897372957,5.23575723770408e-213
CDCA2,2,0.3225915537362362,0.0
PBK,2,0.3772501482660127,0.0
GGH,2,0.37281952584458045,4.747844601505582e-208
ATAD2,2,0.4320269256025411,0.0
MELK,2,0.4812854331412638,0.0
CKS2,2,0.6820321031924846,0.0
CENPP,2,0.6497391700686215,1.8727162213985508e-146
SMC2,2,0.3501372763343973,1.1773224856972753e-285
TUBB4B,2,0.9005765929196152,0.0
ZWINT,2,0.33718931476798064,2.709839635338538e-223
CDK1,2,0.630170751749233,0.0
