feature,p_val,A,fdr,signi
DLGAP2,3.325595764137654e-192,3.2469199179195853,1.6627978820688268e-188,True
GNAO1,1.7071147281153544e-208,3.2066691163440133,8.535573640576771e-205,True
CACNA2D3,4.5005757969597814e-207,3.1800784856358715,2.2502878984798908e-203,True
CUX2,3.4886338413871403e-220,3.1470437440975023,1.74431692069357e-216,True
RBFOX1,1.6158239756769548e-200,3.1319618877407374,8.079119878384774e-197,True
CACNA1B,1.4083924908371739e-170,3.123790249405369,7.041962454185869e-167,True
PLPPR3,6.233042651565353e-154,3.108796011978661,3.116521325782677e-150,True
INA,1.203405022571705e-199,3.10317534372831,6.017025112858526e-196,True
SCN3A,2.469281102048378e-138,3.0722199807485846,1.234640551024189e-134,True
CNTN5,1.4514910629120675e-177,3.058929239024076,7.257455314560338e-174,True
KCTD16,7.36274627493466e-177,2.9877386761167672,3.68137313746733e-173,True
DOCK3,1.807446123961406e-145,2.9853181111995917,9.03723061980703e-142,True
EEF1A2,2.66059858583823e-131,2.972720340038869,1.330299292919115e-127,True
TENM2,2.1518760195835854e-168,2.969062666447165,1.0759380097917928e-164,True
SCN3B,1.3916075866791934e-169,2.9668196098364796,6.958037933395967e-166,True
RIMBP2,2.298865657274811e-172,2.9610416315463666,1.1494328286374056e-168,True
CELF4,9.967894485204193e-173,2.958759862858681,4.9839472426020963e-169,True
FMN1,7.692825029556866e-134,2.9378577894362197,3.846412514778433e-130,True
SYT1,1.2832951046505963e-279,2.9271589930355097,6.4164755232529816e-276,True
ISL1,6.2940898519250366e-201,2.9122258395037495,3.147044925962518e-197,True
ELAVL2,3.3474129797720264e-172,2.9100187575689183,1.6737064898860132e-168,True
NMNAT2,9.816478176777543e-123,2.9021404691422794,4.9082390883887715e-119,True
MAPT,8.233826372239529e-151,2.894731848193277,4.1169131861197645e-147,True
GRIA1,9.818695796954023e-109,2.8946509342704974,4.9093478984770116e-105,True
PRUNE2,1.779653133895077e-138,2.8917809878726413,8.898265669475385e-135,True
SHANK2,5.381410876853215e-135,2.887701988815072,2.6907054384266077e-131,True
EML5,2.651572841232718e-237,2.879877476375549,1.3257864206163589e-233,True
FGF14,5.710093721225504e-177,2.8781582597620696,2.855046860612752e-173,True
PLXNA2,6.765698506545296e-114,2.871009319389948,3.382849253272648e-110,True
MAP7,2.0514123323256478e-147,2.867475324291526,1.025706166162824e-143,True
AC023282.1,5.0453712730819426e-113,2.8671451714810687,2.5226856365409715e-109,True
CADPS,6.962590981880536e-196,2.8419297159795764,3.4812954909402682e-192,True
NECAB2,2.51458023423905e-107,2.8367578417860466,1.257290117119525e-103,True
CAMK4,8.760607449183017e-193,2.8360883958880025,4.380303724591509e-189,True
SNAP91,1.1730496486151541e-140,2.819851660633208,5.865248243075771e-137,True
PRPH,4.5756437670678335e-146,2.8137644487928446,2.2878218835339166e-142,True
DSCAM,3.937037234430575e-118,2.794777799019867,1.9685186172152876e-114,True
MYT1L,8.135933655340377e-137,2.7941251986307036,4.0679668276701884e-133,True
RTN1,1.877503971134913e-141,2.7871468558230332,9.387519855674564e-138,True
GARNL3,2.0886416293477158e-136,2.781961105425991,1.0443208146738578e-132,True
STMN2,6.536534275977964e-236,2.7765286196174968,3.268267137988982e-232,True
ELAVL4,4.919267800997207e-235,2.7741098791284355,2.4596339004986035e-231,True
CTNNA2,1.3396321032284437e-173,2.7736439113254594,6.698160516142218e-170,True
NSG1,1.3821962200419146e-152,2.7662344357878967,6.910981100209573e-149,True
GRK3,1.675616813148799e-144,2.765527337036542,8.378084065743995e-141,True
AL445623.2,9.48029104365709e-106,2.762112195630227,4.740145521828544e-102,True
EYA4,5.8220921383410406e-120,2.7600794095610937,2.91104606917052e-116,True
