feature,module,A,fdr
SPSB1,1,1.0140632946707648,3.4598017687394303e-12
GIPC2,1,0.798725532785699,3.7303243340808194e-08
ADAMTSL4-AS1,1,0.7509740411170622,3.542557164328349e-07
HSPA6,1,0.9883722308215728,6.10088350381495e-15
POU2F1,1,1.2269379984517634,2.888663060343868e-27
KIF14,1,0.9149807766601228,2.175016215236469e-07
BTG2,1,1.106256181212124,1.0094117700167315e-09
G0S2,1,0.8033366735013739,9.270500583345064e-06
ERO1B,1,0.9716563224270733,1.512812119168053e-15
CKAP2L,1,0.8369114760198129,1.8671371497720172e-07
PKP4,1,0.8527572298890786,2.063255396661346e-09
TIPARP,1,1.023326724663082,2.3243172966438917e-14
SHROOM3,1,0.9288702087340514,1.7972014655985625e-09
RNF150,1,1.2800064393976824,1.3819183004201187e-23
FAM160A1,1,1.1034756609159366,2.6789229282134724e-09
GHR,1,0.8535230533354325,3.0847531520234006e-05
EGR1,1,0.8512484525539721,8.374190896573568e-06
H1-2,1,1.056604107945165,4.041884047727241e-06
MCM3,1,0.696423210838787,2.257357792733391e-05
AGPAT4,1,1.0038322488764893,6.101799363620486e-16
HDAC9,1,0.9529875535883454,1.8571553061131376e-13
DBF4,1,0.7571320758437667,5.968636828382523e-06
ESCO2,1,0.9190336751653116,6.025446570865328e-08
ATAD2,1,0.9618413720671694,3.5761425493848175e-10
CCDC171,1,0.9613846703108173,1.351931529955118e-06
KIF11,1,1.2656673010201316,3.959212150396835e-19
CDKN1C,1,1.306788826004544,3.8740218382867295e-13
SLC2A13,1,1.446731742555385,1.1499862627567266e-34
NR4A1,1,1.2776252624093063,8.566712323212109e-30
CHST11,1,1.0725930893825892,3.5173583899484723e-13
USPL1,1,1.7457507357481974,2.5175096369033892e-55
MIS18BP1,1,1.1117729541040333,1.1504243963371837e-13
FBXO34,1,1.1512970652457706,5.186458033974836e-19
CEP128,1,0.8664094038466446,1.4319769684729975e-07
DENND4A,1,1.13454930975466,7.506920226757945e-22
PRC1,1,0.8081715689770953,8.386589459475572e-06
STAT3,1,1.09055308907086,1.8428932991062358e-11
BRIP1,1,0.9254239564804194,3.5756917311170947e-07
CEP192,1,0.9926643016169288,2.985729672363044e-14
ABHD3,1,1.5388544311211487,5.841262101672842e-43
PARD6G-AS1,1,0.9047000702816494,5.309322522546811e-11
RFX2,1,0.9039187563734966,8.480803971464574e-10
FOSB,1,0.8579789106244482,2.14238224310189e-09
MYADM,1,0.7306398067324531,3.4170550569807336e-06
PLCB4,1,1.1459775336585503,1.0145126124778374e-09
KIAA1671,1,0.7477877512953616,3.575319899389736e-07
GTSE1,1,0.8663123871971036,1.2385219200706595e-06
PHF8,1,0.8822625225696392,1.4418584122663298e-07
HDX,1,0.734685631622977,8.198434519246223e-07
CSRNP1,1,0.7240471723008488,3.3647427637137196e-07
CBLB,1,0.9115172345736036,4.4227841789150266e-11
ARL15,1,1.3876701488146188,2.5464763622292575e-34
CAMKMT,1,1.026959722440501,3.672108000185948e-15
SOX2-OT,1,1.593211353693552,4.291268969817343e-11
PRIM2,1,1.0882859091052461,3.788698122428718e-15
UBE3D,1,0.7532806314537188,2.7469755780637004e-07
MMS22L,1,0.9209144590483687,1.611057033400579e-10
FOXP2,1,1.0328975546516652,1.0977820811015192e-06
MOB3B,1,0.8914087002779252,5.52282022984706e-06
CDC14B,1,0.9175525852839174,1.3133834499810362e-14
KCNQ1OT1,1,1.3561150967109499,4.705639618293584e-38
HELB,1,0.90126061551695,6.24451875545921e-08
LINC01572,1,0.7857371050977244,4.842052298011491e-08
WWOX,1,0.9777240021008125,4.4611113393740604e-14
PDE4B,1,1.4804814081114013,1.3387452403888555e-42
CTH,1,0.7437119499828447,2.1458057708823125e-07
HS2ST1,1,0.9155467821228472,3.3732642062346396e-10
RNF180,1,0.6789082896428416,1.7571261921589633e-05
ZUP1,1,0.8449119870661713,8.206999780265348e-10
ST3GAL1,1,0.7972394281623341,3.659194490968454e-09
CENPP,1,1.081950762321232,2.915311058451103e-12
ZWINT,1,0.8116110759311153,9.486613553309506e-05
ADAMTS15,1,0.8560139038457361,3.574353030787931e-11
PDZRN4,1,1.0573568078081168,5.791097558045988e-08
HS3ST4,1,0.9756433691251938,6.346985567032432e-07
TENT4B,1,1.0836599166210343,1.9084593968738503e-17
H1-9P,1,1.2262599340792968,4.951141326121651e-30
ID1,1,1.252963816345332,1.7900223682728921e-12
CCDC18,1,0.7572550122384941,8.139143872818649e-10
PLEKHH2,1,0.8119802710004156,1.90383801065142e-07
DIPK2A,1,0.8174190612365118,9.11271396466464e-09
TACC3,1,0.8956609774566149,3.6761384980734935e-10
MAD2L1,1,0.9018566132397279,3.41531792240393e-05
BMP6,1,0.8057482929657842,2.3640573962769186e-09
PRAG1,1,0.8467581809117457,6.641614185271112e-11
NR6A1,1,1.3229761377162812,2.7995901455980917e-34
PRKG1,1,1.1423524539219037,5.153270424057798e-20
RASSF8,1,1.1395002367147935,1.5620164717256056e-22
PAWR,1,0.8045800682659785,2.1162309188520404e-08
PARPBP,1,0.8255774469239285,3.7979019979546274e-07
RFC3,1,0.7814201323074854,5.513645393371057e-07
EFNB2,1,1.2472854671844382,2.368273278404299e-29
PRKD1,1,1.2060662540259637,2.593271687685305e-26
CCNB2,1,0.7649766847567134,6.918937745447355e-06
AC099489.1,1,1.391133512448731,1.7896057925605656e-17
PIMREG,1,0.7679937756651835,2.2531418743507762e-05
TYMS,1,0.9217670031603736,4.422822844580073e-06
DSEL,1,0.741964112940239,9.372014544934724e-06
CACHD1,1,1.025342315379175,2.86227900444863e-20
RGS2,1,0.7512405724775546,3.61946389452335e-07
WDPCP,1,0.8581056132791426,3.245526975407754e-11
POLQ,1,0.9560427994577745,1.191614778407695e-10
FAM13A,1,1.4743939628431377,2.098353771362099e-47
SPATA5,1,1.0839860061602646,7.08837457652014e-20
HMGB2,1,1.0147663768712394,2.4747605160329044e-07
CDC25C,1,1.0074383375295146,2.058237134980058e-12
MYLIP,1,1.182522979927068,1.8880979140044562e-29
MELK,1,0.8762518885069408,9.280540635125765e-08
DEPP1,1,0.7456102307727235,3.238326536939812e-07
DDIT4,1,0.7545996657116445,6.198299388515927e-08
H2AX,1,1.1464415629226048,3.7747529048599985e-22
AC018362.3,1,0.7325047487303282,2.3620223948639404e-07
PCSK6,1,0.8709217998562331,1.742847079871607e-07
NETO2,1,0.7850107923223186,4.995357158192565e-08
AURKB,1,0.9813280081013677,9.157813731776782e-11
KIF18B,1,0.8918157788964332,9.978028130510664e-09
MIR924HG,1,0.808031218737804,2.690699504140668e-07
TPX2,1,1.0195361639023175,4.827645209052155e-13
LUZP1,1,1.2866993723158777,4.364068552618756e-29
CDC14A,1,1.2748094851946488,4.1331017644248913e-32
SPC25,1,0.7753780262935883,2.9948002657053084e-05
KIF15,1,0.8544006440084757,3.2643377059544664e-08
CENPU,1,0.8164342829994893,2.400479036264916e-07
PTTG1,1,0.8457791111816753,3.152120337019163e-05
TTK,1,0.8445095620967706,3.2222503207701184e-07
FBXO5,1,0.8562692251865514,5.539000936152304e-08
ANLN,1,0.9527787748931416,2.500608552317863e-12
CDCA2,1,1.0621383825679187,3.0779822838216224e-15
LRRC4C,1,0.7415423367702514,1.0151463551027493e-07
TOP2A,1,0.8542683747386717,2.4545280390215174e-08
FAM117A,1,0.9665428267379161,8.949438109946654e-13
NDC80,1,0.9224476199143443,1.73273797524726e-11
GADD45B,1,1.1351304447135715,3.2823257783077044e-23
FAM83D,1,0.959335552514973,6.153180298992882e-12
AL008633.1,1,0.6908445582901122,5.322950493795035e-06
GPSM2,1,0.8667022261216452,4.3260716239822854e-11
NUF2,1,0.8190065161709859,9.947029098704672e-07
ASPM,1,0.8960399587917711,8.431132099095678e-10
CENPF,1,1.0627187579038244,3.951523573193388e-15
MITF,1,0.9528023630022102,7.554198631678598e-19
SMC4,1,1.0373410698158323,1.6711219650118959e-15
ECT2,1,0.8197497140946969,2.1998167875615977e-07
NCAPG,1,0.9125924989166263,1.0349731530399328e-08
KIFC1,1,0.8825108862813827,9.794753571985899e-08
CEMIP2,1,1.3021946645918523,6.942105294881737e-35
SMC2,1,1.0028053065700393,2.5399591023344586e-16
